BlockID,BasinID,CentreX,CentreY,CoordX,CoordY,estgw0,gw0mSL,estgwm,gwmmSL
32,1,9400,86.77001735,2705124.148,1244506.568,526.6623627,257.2750612,528.319335,257.5473316
33,1,9700,-86.43506265,2705424.148,1244333.363,526.5318053,1.259,528.275224,320.2581094
34,1,10000,86.77001735,2705724.148,1244506.568,526.485481,324.2379896,528.2672257,324.5165581
36,1,10600,86.77001735,2706324.148,1244506.568,526.3181197,326.0552038,528.2164823,326.3835177
68,1,9100,259.9750973,2704824.148,1244679.773,526.8045259,230.425509,528.3671356,230.7476184
69,1,9400,433.1801773,2705124.148,1244852.978,526.7524236,246.5196328,528.3585641,246.8347692
70,1,9700,259.9750973,2705424.148,1244679.773,526.61323,295.6874314,528.3110416,296.0022917
71,1,10000,433.1801773,2705724.148,1244852.978,526.5560569,297.2425494,528.2994898,297.9138435
72,1,10300,259.9750973,2706024.148,1244679.773,526.4322029,318.7456347,528.2563741,319.2284743
73,1,10600,433.1801773,2706324.148,1244852.978,526.3732246,303.8635125,528.2430697,304.2569303
74,1,10900,259.9750973,2706624.148,1244679.773,526.263397,322.9555686,528.2041007,323.2333993
103,1,8500,606.3852573,2704224.148,1245026.183,527.1300201,206.8514211,528.4758388,208.5955898
104,1,8800,779.5903373,2704524.148,1245199.388,527.0716104,185.8298072,528.4668337,190.959833
105,1,9100,606.3852573,2704824.148,1245026.183,526.9046091,201.1522236,528.4102951,201.4699866
106,1,9400,779.5903373,2705124.148,1245199.388,526.8384224,218.4985295,528.3971418,218.8161916
107,1,9700,606.3852573,2705424.148,1245026.183,526.6909613,266.6138195,528.3462472,266.9240231
108,1,10000,779.5903373,2705724.148,1245199.388,526.6219027,262.8840195,528.3307467,263.7959199
109,1,10300,606.3852573,2706024.148,1245026.183,526.4923253,293.5047377,528.2851521,294.1134965
110,1,10600,779.5903373,2706324.148,1245199.388,526.4234462,290.7180988,528.268486,291.2648473
111,1,10900,606.3852573,2706624.148,1245026.183,526.3097387,316.6343548,528.2277002,317.0171977
140,1,8500,952.7954173,2704224.148,1245372.594,527.2555876,201.8646158,528.5289012,202.4122753
141,1,8800,1126.000497,2704524.148,1245545.799,527.1784882,1.165425977,528.5138376,173.9194957
142,1,9100,952.7954173,2704824.148,1245372.594,527.0002233,176.6188376,528.4527665,176.9672335
143,1,9400,1126.000497,2705124.148,1245545.799,526.9184127,219.3896972,528.4344536,219.7788798
144,1,9700,952.7954173,2705424.148,1245372.594,526.7633728,245.9439384,528.3803259,246.2463408
145,1,10000,1126.000497,2705724.148,1245545.799,526.681479,233.1626951,528.3605,234.7928334
146,1,10300,952.7954173,2706024.148,1245372.594,526.5469288,264.6704868,528.3126068,265.5340599
147,1,10600,1126.000497,2706324.148,1245545.799,526.4675908,278.1987408,528.2923371,279.0676629
148,1,10900,952.7954173,2706624.148,1245372.594,526.350724,316.4931094,528.2499216,317.0763196
177,1,8500,1299.205577,2704224.148,1245719.004,527.3757623,166.7183453,528.5812297,167.269345
178,1,8800,1472.410657,2704524.148,1245892.209,527.2775953,147.8775109,528.5592231,148.298885
179,1,9100,1299.205577,2704824.148,1245719.004,527.0890207,171.5169095,528.4938097,171.9328569
180,1,9400,1472.410657,2705124.148,1245892.209,526.9901719,201.0345749,528.4697856,206.5031874
181,1,9700,1299.205577,2705424.148,1245719.004,526.8286225,217.8941397,528.4126852,223.7273148
182,1,10000,1472.410657,2705724.148,1245892.209,526.7330992,208.4633664,528.3881965,213.9631548
183,1,10300,1299.205577,2706024.148,1245719.004,526.5945996,252.4224747,528.3382733,254.1483934
184,1,10600,1472.410657,2706324.148,1245892.209,526.5043936,284.8177178,528.3141984,285.7330989
185,1,10900,1299.205577,2706624.148,1245719.004,526.3852798,298.9512673,528.2704028,299.4868787
197,1,3400,1818.820817,2699124.148,1246238.619,528.0385919,37.83986171,528.4978383,38.83549503
199,1,4000,1818.820817,2699724.148,1246238.619,528.9358704,19.25630276,528.8784984,20.72864442
213,1,8200,1818.820817,2703924.148,1246238.619,527.720871,123.9816952,528.712568,124.6858695
214,1,8500,1645.615737,2704224.148,1246065.414,527.4870352,135.572893,528.6317162,136.1004267
215,1,8800,1818.820817,2704524.148,1246238.619,527.3656034,134.9639864,528.6019202,135.1548365
216,1,9100,1645.615737,2704824.148,1246065.414,527.1682949,161.2713935,528.5325558,161.751228
217,1,9400,1818.820817,2705124.148,1246238.619,527.0512381,1.164809792,528.5023341,157.8355037
218,1,9700,1645.615737,2705424.148,1246065.414,526.8846817,1.164809792,528.4426616,181.9762573
219,1,10000,1818.820817,2705724.148,1246238.619,526.7749694,1.164809792,528.4132384,227.4718967
220,1,10300,1645.615737,2706024.148,1246065.414,526.6338372,256.2364221,528.3616495,258.0099721
221,1,10600,1818.820817,2706324.148,1246238.619,526.5325539,306.7325034,528.3336246,307.76097
222,1,10900,1645.615737,2706624.148,1246065.414,526.4123011,323.4091011,528.2887644,324.0393606
232,1,2800,2165.230977,2698524.148,1246585.029,527.0605854,42.95638007,528.0755483,43.42445172
233,1,3100,1992.025897,2698824.148,1246411.824,527.6394682,40.55344165,528.3179753,41.33587082
234,1,3400,2165.230977,2699124.148,1246585.029,528.5169619,37.32622143,528.6420895,38.65791054
235,1,3700,1992.025897,2699424.148,1246411.824,528.8099593,36.46419237,528.792675,37.93629692
236,1,4000,2165.230977,2699724.148,1246585.029,529.5810557,12.18619561,529.1046921,12.2736863
238,1,4600,2165.230977,2700324.148,1246585.029,530.1131307,10.21792852,529.3855902,10.61440977
249,1,7900,1992.025897,2703624.148,1246411.824,527.983436,119.295861,528.8034055,120.1965945
250,1,8200,2165.230977,2703924.148,1246585.029,527.831168,115.4926424,528.7653162,116.2680171
251,1,8500,1992.025897,2704224.148,1246411.824,527.5852679,130.7413455,528.6790257,131.3609743
252,1,8800,2165.230977,2704524.148,1246585.029,527.4387757,129.4320604,528.6407076,130.2192924
253,1,9100,1992.025897,2704824.148,1246411.824,527.2350291,136.1374315,528.5680202,136.6319798
254,1,9400,2165.230977,2705124.148,1246585.029,527.0989817,142.225848,528.5312267,142.6487733
255,1,9700,1992.025897,2705424.148,1246411.824,526.9293881,190.5271821,528.4695365,190.9171302
256,1,10000,2165.230977,2705724.148,1246585.029,526.805249,229.2828814,528.4350004,229.6256056
257,1,10300,1992.025897,2706024.148,1246411.824,526.6630997,264.4747273,528.38221,271.4686672
